state,year,week,incidence
Labuan,2017,21,6
Labuan,2017,22,0
Labuan,2017,23,5
Labuan,2017,24,1
Labuan,2017,25,2
Labuan,2017,26,0
Labuan,2017,27,2
Labuan,2017,28,7
Labuan,2017,29,0
Labuan,2017,30,7
Labuan,2017,31,2
Labuan,2017,32,15
Labuan,2017,33,1
Labuan,2017,34,2
Labuan,2017,35,1
Labuan,2017,36,0
Labuan,2017,37,3
Labuan,2017,38,3
Labuan,2017,39,4
Labuan,2017,40,2
Labuan,2017,41,3
Labuan,2017,42,2
Labuan,2017,43,3
Labuan,2017,44,2
Labuan,2017,45,2
Labuan,2017,46,2
Labuan,2017,47,2
Labuan,2017,48,2
Labuan,2017,49,0
Labuan,2017,50,5
Labuan,2017,51,1
Labuan,2017,52,1
Melaka,2014,1,3
Melaka,2014,2,10
Melaka,2014,3,11
Melaka,2014,4,12
Melaka,2014,5,16
Melaka,2014,6,6
Melaka,2014,7,19
Melaka,2014,8,8
Melaka,2014,9,21
Melaka,2014,10,3
Melaka,2014,11,12
Melaka,2014,12,6
Melaka,2014,13,12
Melaka,2014,14,12
Melaka,2014,15,7
Melaka,2014,16,13
Melaka,2014,17,7
Melaka,2014,18,6
Melaka,2014,19,24
Melaka,2014,20,11
Melaka,2014,21,22
Melaka,2014,22,8
Melaka,2014,23,6
Melaka,2014,24,12
Melaka,2014,25,15
Melaka,2014,26,13
Melaka,2014,27,3
Melaka,2014,28,14
Melaka,2014,29,43
Melaka,2014,30,19
